Company,QueryID,SubQueryID,Relation ID,Seq,Field,ParentFieldDataType,IsExpr,Field,ChildFieldDataType,IsExpr,AndOr,Not,(,),=,SystemFlag,SysRevID,SysRowID
,COM-PoRelease,32bdda4b-5725-40aa-9360-8e14572c297e,f4da6e6c-bb96-43e9-963d-baeba22c297e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958920,c4b75d3c-f394-49e4-98e5-b25a00df764f
,COM-PoRelease,32bdda4b-5725-40aa-9360-8e14572c297e,f4da6e6c-bb96-43e9-963d-baeba22c297e,2,VendorNum,int,FALSE,VendorNum,int,FALSE,And,FALSE,,,=,TRUE,277958921,8259f2e4-b979-4aea-83f5-b25a00df764f
,COM-PoRelease,32bdda4b-5725-40aa-9360-8e14572c297e,98eb5507-9d70-4cf5-a049-baeba22c297e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958922,7b259f81-e32e-436a-8398-b25a00df764f
,COM-PoRelease,32bdda4b-5725-40aa-9360-8e14572c297e,98eb5507-9d70-4cf5-a049-baeba22c297e,2,JobCSR,nvarchar,FALSE,SalesRepCode,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958923,eef4411a-40c7-4287-bd98-b25a00df764f
,COM-PoRelease,32bdda4b-5725-40aa-9360-8e14572c297e,720a4e4d-f159-432c-b26e-baeba22c297e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958924,31d65015-03d6-4980-9e0e-b25a00df764f
,COM-PoRelease,32bdda4b-5725-40aa-9360-8e14572c297e,720a4e4d-f159-432c-b26e-baeba22c297e,2,PONUM,int,FALSE,PONum,int,FALSE,And,FALSE,,,=,TRUE,277958925,0a0f20a0-f339-47a2-9cd1-b25a00df764f
,COM-PoRelease,32bdda4b-5725-40aa-9360-8e14572c297e,720a4e4d-f159-432c-b26e-baeba22c297e,3,POLine,int,FALSE,POLine,int,FALSE,And,FALSE,,,=,TRUE,277958926,96fb1020-f930-4c68-a249-b25a00df764f
,COM-PoRelease,32bdda4b-5725-40aa-9360-8e14572c297e,332943ed-4512-401d-ba4c-baeba22c297e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958927,4483dd56-3cbf-4494-a059-b25a00df764f
,COM-PoRelease,32bdda4b-5725-40aa-9360-8e14572c297e,332943ed-4512-401d-ba4c-baeba22c297e,2,PONum,int,FALSE,PONUM,int,FALSE,And,FALSE,,,=,TRUE,277958928,26eb493a-7ab5-4732-97ec-b25a00df764f
,COM-ShipmentsPerCustomer,b68c773f-9965-4ac4-8c8d-f047cab8327e,4c6eb8f3-b94c-4882-9450-e85a3bb9327e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958929,0b7f928e-209d-47af-816b-b25a00df764f
,COM-ShipmentsPerCustomer,b68c773f-9965-4ac4-8c8d-f047cab8327e,4c6eb8f3-b94c-4882-9450-e85a3bb9327e,2,CustNum,int,FALSE,CustNum,int,FALSE,And,FALSE,,,=,TRUE,277958930,467fa39d-165b-4c6a-bfb0-b25a00df764f
,COM-ShipmentsPerCustomer,b68c773f-9965-4ac4-8c8d-f047cab8327e,7858e3ab-1ba1-4da6-b124-e85a3bb9327e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958931,25a1ebde-b312-40dd-88d4-b25a00df764f
,COM-ShipmentsPerCustomer,b68c773f-9965-4ac4-8c8d-f047cab8327e,7858e3ab-1ba1-4da6-b124-e85a3bb9327e,2,OrderNum,int,FALSE,OrderNum,int,FALSE,And,FALSE,,,=,TRUE,277958932,56235561-3554-41b8-b24c-b25a00df764f
,COM-ShipmentsPerCustomer,b68c773f-9965-4ac4-8c8d-f047cab8327e,7858e3ab-1ba1-4da6-b124-e85a3bb9327e,3,OrderLine,int,FALSE,OrderLine,int,FALSE,And,FALSE,,,=,TRUE,277958933,4dc7edd2-2e5d-4bd1-8ece-b25a00df764f
,COM-ShipmentsPerCustomer,b68c773f-9965-4ac4-8c8d-f047cab8327e,7858e3ab-1ba1-4da6-b124-e85a3bb9327e,4,OrderRelNum,int,FALSE,OrderRelNum,int,FALSE,And,FALSE,,,=,TRUE,277958934,f7a20f3d-b023-4560-abb8-b25a00df764f
,COM-ShipmentsPerCustomer,b68c773f-9965-4ac4-8c8d-f047cab8327e,07512a85-eb14-48e9-b13e-e85a3bb9327e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958935,f7aa656a-3049-430d-834f-b25a00df764f
,COM-ShipmentsPerCustomer,b68c773f-9965-4ac4-8c8d-f047cab8327e,07512a85-eb14-48e9-b13e-e85a3bb9327e,2,PackNum,int,FALSE,PackNum,int,FALSE,And,FALSE,,,=,TRUE,277958936,153ee395-935f-492c-a834-b25a00df764f
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,bb00687e-46ea-4803-91f3-d26689fd327e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958937,00c00da7-bcf9-445c-b57f-b25a00df764f
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,bb00687e-46ea-4803-91f3-d26689fd327e,2,JobNum,nvarchar,FALSE,JobNum,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958938,6ac824c0-86cd-4804-b628-b25a00df764f
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,fcf5064f-fcfd-42e6-92f9-d26689fd327e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958939,bf5e5c65-7223-4088-9fb3-b25a00df764f
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,fcf5064f-fcfd-42e6-92f9-d26689fd327e,2,OrderNum,int,FALSE,OrderNum,int,FALSE,And,FALSE,,,=,TRUE,277958940,a633046d-c92f-4bee-93de-b25a00df764f
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,a770fafa-0da0-4b11-9e9f-d26689fd327e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958941,7fb12d48-65f4-4e79-a430-b25a00df764f
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,a770fafa-0da0-4b11-9e9f-d26689fd327e,2,OrderNum,int,FALSE,OrderNum,int,FALSE,And,FALSE,,,=,TRUE,277958942,9a1308a2-f160-479a-96a0-b25a00df764f
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,a770fafa-0da0-4b11-9e9f-d26689fd327e,3,OrderLine,int,FALSE,OrderLine,int,FALSE,And,FALSE,,,=,TRUE,277958943,bb0d86ca-3908-4649-8c0d-b25a00df764f
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,c01449df-9202-4de7-a400-d26689fd327e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958944,0cdd3cd9-0254-45f3-ac8a-b25a00df764f
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,c01449df-9202-4de7-a400-d26689fd327e,2,ShipViaCode,nvarchar,FALSE,ShipViaCode,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958945,95398ce2-d8d3-46b7-bb69-b25a00df764f
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,7cbd0283-cb76-4476-a5ef-d26689fd327e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958946,33ab3947-424d-4c4a-b095-b25a00df764f
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,7cbd0283-cb76-4476-a5ef-d26689fd327e,2,PackNum,int,FALSE,PackNum,int,FALSE,And,FALSE,,,=,TRUE,277958947,6adf4996-b1e2-4269-8ce8-b25a00df764f
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,c4d3624d-1d9b-4e75-a7c0-d26689fd327e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958948,ff35b140-a711-4c48-8714-b25a00df764f
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,c4d3624d-1d9b-4e75-a7c0-d26689fd327e,2,OrderNum,int,FALSE,OrderNum,int,FALSE,And,FALSE,,,=,TRUE,277958949,5624314e-24d0-4d3a-9944-b25a00df764f
,COM-ShipOpenRel,896a8f64-6307-4575-8384-f458c1fc327e,c4d3624d-1d9b-4e75-a7c0-d26689fd327e,3,OrderLine,int,FALSE,OrderLine,int,FALSE,And,FALSE,,,=,TRUE,277958950,19f1bf50-6a73-4697-aab3-b25a00df764f
